action,request_path,request_encoding,play_stage,client_evidence,request_fields,response_fields,cmn_effect,static_config_dependencies,persistence_entities,implementation_status,handling_class,test_fixture,device_validation,risk,next_step
menu.userCdkey,/index.php?do=menu.userCdkey,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),8 日常与经济,"[""ReconstructedJS/src_jsc/Cfg/Url.js:110"",""docs/ref/menu.md#menuuserCdkey"",""Views/Dialog/ExchangeCDKey.js:73 (onExchange)""]","[""cdkey_string""]","[""add_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
meridian.light,?do=meridian.light,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:244"",""docs/ref/meridian.md#meridianlight"",""Views/Meridians/MeridiansMainView.js:577 (touchMeridiansCallBack)""]","[""user_general_id"",""user_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
meridian.multiLight,?do=meridian.multiLight,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:245"",""docs/ref/meridian.md#meridianmultiLight"",""Views/Meridians/MeridiansMainView.js:545 (touchAllMeridiansCallBack)""]","[""user_general_id"",""user_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
mystery.buy,/?do=mystery.buy,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),8 日常与经济,"[""ReconstructedJS/src_jsc/Cfg/Url.js:228"",""docs/ref/mystery.md#mysterybuy"",""Views/Dialog/MysteryStoreDialog.js:513 (rightCB)""]","[""pk_id"",""user_id""]","[""result"",""return_info""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
mystery.info,/?do=mystery.info,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),8 日常与经济,"[""ReconstructedJS/src_jsc/Cfg/Url.js:226"",""docs/ref/mystery.md#mysteryinfo"",""Views/Dialog/MysteryStoreDialog.js:579 (showWithSurrenderInfo)""]","[""user_id""]","[""result"",""return_info""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
mystery.refresh,/?do=mystery.refresh,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),8 日常与经济,"[""ReconstructedJS/src_jsc/Cfg/Url.js:227"",""docs/ref/mystery.md#mysteryrefresh"",""Views/Dialog/MysteryStoreDialog.js:443 (_updateCallBack)""]","[""user_id""]","[""result"",""return_info""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
notify.activate,/?do=notify.activate,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:139"",""docs/ref/notify.md#notifyactivate"",""Views/Dialog/UsrUpgrade.js:128 (onEnterTransitionDidFinish)"",""Views/Dialog/UsrUpgradeNew.js:537 (onEnterTransitionDidFinish)"",""Profile/GameData/Mgr.js:139 (init_Login)""]",[],[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,unit regression test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
pay.createTrade,(内联拼接，不含固定前缀),GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""Views/Table/ChargeItemTableView.js:229"",""docs/ref/pay.md#paycreateTrade""]",[],[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,HTTP integration test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
payIos.iosCharge,/index.php?do=payIos.iosCharge,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:130"",""docs/ref/payIos.md#payIosiosCharge"",""Views/Dialog/CheckOrderDialog.js:78 (requestCheckTransactionReceipt_Google)"",""Views/Dialog/CheckOrderDialog.js:82 (requestCheckTransactionReceipt)""]","[""pay_type"",""receipt_data"",""special_channel"",""user_id""]","[""chargeInfo"",""chargeInfo.flag""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,unit regression test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
product.checkOrder,/index.php?do=product.checkOrder,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:131"",""docs/ref/product.md#productcheckOrder"",""Views/Dialog/CheckOrderDialog.js:131 (onResponse_Notify)"",""Views/Dialog/CheckOrderDialog.js:180 (onResponse_Status_Err)""]","[""email_push"",""forcepush"",""order_ids""]","[""order_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,unit regression test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
product.createOrder,/index.php?do=product.createOrder,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:128"",""docs/ref/product.md#productcreateOrder"",""Views/Table/ChargeItemTableView.js:195 (rightCB)""]","[""order_type"",""product_id"",""s_type"",""special_channel""]","[""return_info.ext"",""return_info.order_id"",""return_info.product_price"",""return_info.user_id""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,HTTP integration test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
product.getList,/index.php?do=product.getList,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:127"",""docs/ref/product.md#productgetList"",""Views/Table/ChargeItemTableView.js:68 (getProductList)""]","[""special_channel""]","[""product_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,unit regression test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
product.notify,/index.php?do=product.notify,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:129"",""docs/ref/product.md#productnotify""]",[],[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,unit regression test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
pulse.getList,?do=pulse.getList,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:241"",""docs/ref/pulse.md#pulsegetList"",""Views/Meridians/PracticeMeridiansMainView.js:364 (onEnterTransitionDidFinish)""]","[""user_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
pulse.practicePulse,?do=pulse.practicePulse,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:242"",""docs/ref/pulse.md#pulsepracticePulse"",""Views/Meridians/PracticeMeridiansMainView.js:212 (_requestGoToMeridiansCall)""]","[""pulse_count"",""pulse_num"",""user_id""]","[""pulse_multiple""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
pulse.pulseCollect,?do=pulse.pulseCollect,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:243"",""docs/ref/pulse.md#pulsepulseCollect"",""Views/Meridians/PracticeMeridiansMainView.js:267 (_requestCollectMeridians)""]","[""pulse_count"",""user_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
rank.getRankList,/index.php?do=rank.getRankList,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:105"",""docs/ref/rank.md#rankgetRankList"",""Scene/Rank/RankScene.js:132 (updateData)""]",[],"[""rank""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
rank.like,/index.php?do=rank.like,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:106"",""docs/ref/rank.md#ranklike"",""Views/Table/Cell/RankTableViewCell.js:189 (updateCell)""]","[""like_user_id"",""rank"",""type""]","[""gold_num""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
relationship.delUserRelationship,/index.php?do=relationship.delUserRelationship,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:118"",""docs/ref/relationship.md#relationshipdelUserRelationship"",""Views/Dialog/FriendOperationDialog.js:86 (setBtnCallBack)""]","[""other_id"",""type""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
relationship.fight,?do=relationship.fight,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:160"",""docs/ref/relationship.md#relationshipfight"",""Views/Table/Cell/SocialTableViewCell.js:143 (onFightBtnClick)""]","[""player_id"",""user_id""]",[],cmn models: xs.Models.FightInfo.create,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
relationship.replyRequest,/index.php?do=relationship.replyRequest,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:111"",""docs/ref/relationship.md#relationshipreplyRequest"",""Views/Table/Cell/MailTableViewCell.js:166 (updateCcbForFriend)"",""Views/Table/Cell/MailTableViewCell.js:178 (updateCcbForFriend)"",""Scene/Mail/MailView.js:65 (onBtnClick)"",""Scene/Mail/MailView.js:69 (onBtnClick)""]","[""other_id"",""type""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
relationship.requestFriend,/index.php?do=relationship.requestFriend,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:117"",""docs/ref/relationship.md#relationshiprequestFriend"",""Views/Table/Cell/SocialTableViewCell.js:111 (onBtnClick)""]","[""other_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
relationship.searchUser,/index.php?do=relationship.searchUser,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:119"",""docs/ref/relationship.md#relationshipsearchUser"",""Scene/Social/SocialView.js:245 (onSearchCallBack)""]","[""limit"",""page"",""search_word"",""type""]","[""return_info.search_user""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
relationship.userEnemysInfo,/index.php?do=relationship.userEnemysInfo,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:116"",""docs/ref/relationship.md#relationshipuserEnemysInfo"",""Scene/Social/SocialView.js:115 (onEnter)"",""Scene/Social/SocialView.js:329 (updateSocial)""]",[],"[""Clone"",""length"",""return_info.enemys"",""return_info.friends"",""return_info.user_make_friends""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
relationship.userFriendsInfo,/index.php?do=relationship.userFriendsInfo,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:115"",""docs/ref/relationship.md#relationshipuserFriendsInfo"",""Scene/Social/SocialView.js:109 (onEnter)"",""Scene/Social/SocialView.js:325 (updateSocial)""]",[],"[""Clone"",""length"",""return_info.enemys"",""return_info.friends"",""return_info.user_make_friends""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
relationship.userMakeFriendsInfo,/index.php?do=relationship.userMakeFriendsInfo,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:114"",""docs/ref/relationship.md#relationshipuserMakeFriendsInfo"",""Scene/Social/SocialView.js:101 (onEnter)"",""Scene/Social/SocialView.js:231 (onSearchCallBack)"",""Scene/Social/SocialView.js:320 (updateSocial)""]",[],"[""Clone"",""length"",""return_info.enemys"",""return_info.friends"",""return_info.user_make_friends""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
skill.melt,/index.php?do=skill.melt,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:61"",""docs/ref/skill.md#skillmelt"",""Views/Table/Cell/SkillMeltTableCell.js:173 (_sell)"",""Views/Table/Cell/SkillMeltTableCell.js:195 (_sell)""]","[""sids"",""user_id""]","[""add_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
skill.multiMelt,/index.php?do=skill.multiMelt,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:62"",""docs/ref/skill.md#skillmultiMelt"",""Scene/Skill/SkillScene.js:147 (rightCB)"",""Scene/Main/MainMenuScene.js:497 (btnCallback)""]","[""user_id""]","[""add_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
skill.upgradeskillLevel,/index.php?do=skill.upgradeskillLevel,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:60"",""docs/ref/skill.md#skillupgradeskillLevel"",""Views/Dialog/SkillUpDialog.js:403 (_yes)""]","[""consume_user_item_ids"",""consume_user_item_num"",""consume_user_skill_ids"",""forcepush"",""user_skill_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
skillRefine.skillRefine,/?do=skillRefine.skillRefine,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:261"",""docs/ref/skillRefine.md#skillRefineskillRefine"",""Views/SkillRefining/SkillRefiningLayer.js:617 (lianhuaCallback)""]","[""user_id"",""user_skill_id""]","[""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
spiritStoneGoods.buy,/?do=spiritStoneGoods.buy,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:234"",""docs/ref/spiritStoneGoods.md#spiritStoneGoodsbuy"",""Views/Dialog/SpiritStoneDialog.js:367 (rightCB)""]","[""pk_id"",""user_id""]","[""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
spiritStoneGoods.getList,/?do=spiritStoneGoods.getList,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:233"",""docs/ref/spiritStoneGoods.md#spiritStoneGoodsgetList"",""Views/Dialog/SpiritStoneDialog.js:417 (showWithSurrenderInfo)""]","[""user_id""]","[""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
task.getList,?do=task.getList,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),8 日常与经济,"[""ReconstructedJS/src_jsc/Cfg/Url.js:149"",""docs/ref/task.md#taskgetList"",""Views/Dialog/DailyTaskDialog.js:84 (onEnter)""]","[""forcepush""]","[""list"",""list.length""]",cmn models: xs.Models.Task.createWithData,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
task.multiRecieve,?do=task.multiRecieve,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),8 日常与经济,"[""ReconstructedJS/src_jsc/Cfg/Url.js:150"",""docs/ref/task.md#taskmultiRecieve"",""Views/Dialog/DailyTaskDialog.js:58 (getAllAwardButtonTouch)""]","[""forcepush"",""user_id""]","[""list"",""result"",""task_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
task.recieve,?do=task.recieve,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),8 日常与经济,"[""ReconstructedJS/src_jsc/Cfg/Url.js:151"",""docs/ref/task.md#taskrecieve"",""Views/Table/Cell/TaskCell.js:239 (requestTaskRecieve)""]","[""forcepush"",""task_pk_id"",""user_id""]","[""list"",""result"",""task_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
team.addTeamInfo,?do=team.addTeamInfo,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),5 招募与编队,"[""ReconstructedJS/src_jsc/Cfg/Url.js:238"",""docs/ref/team.md#teamaddTeamInfo"",""Views/MultiLineUpView.js:241 (rightCB)""]","[""team_id"",""user_id""]","[""team_info"",""team_info.length""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
team.chgBattleTeam,/index.php?do=team.chgBattleTeam,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),5 招募与编队,"[""ReconstructedJS/src_jsc/Cfg/Url.js:27"",""docs/ref/team.md#teamchgBattleTeam"",""Scene/TeamBuild/TeamBuildScene.js:1176 (Net_ReplaceTeamGeneral)"",""Scene/TeamBuild/TeamBuildScene_V2.js:905 (Net_ReplaceTeamGeneral)""]","[""general_id"",""team_id"",""team_position""]",[],No model hop extracted; inspect ref page and cmn consumers.,"[""sgs_generals""]","player_team, tutorial_progress, request_dedup",IMPLEMENTED_LOCAL_SLICE,GAMEPLAY_REQUIRED,HTTP integration test,NOT DEVICE VERIFIED,"Current handler covers only the local reconstruction slice; verify full response, rules, costs, and restart behavior.","Extend behavior from client evidence; add success, legal refusal, retry, persistence, and device checks."
team.chgTeam,/index.php?do=team.chgTeam,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),5 招募与编队,"[""ReconstructedJS/src_jsc/Cfg/Url.js:26"",""docs/ref/team.md#teamchgTeam"",""Views/QueueTeamView.js:496 (confirmCallback)""]","[""team"",""team_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
